title,link,price
"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/256GB SSD/Intergrated Graphics/Windows 11 Home/Indie Black/1.8 Kg), X1500EA-EJ111WS  ",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ111WS/dp/B0CRZ5JH8X/ref=sr_1_107?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-107,"25,990"
"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black  ",https://amazon.in//HP-255-G9-Notebook-Silver-3050U/dp/B0C8VF4DL5/ref=sr_1_108?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-108,"19,400"
"HP Laptop 15, AMD Ryzen 3 7320U, 15.6-inch (39.6 cm), FHD, 8GB LPDDR5, 512GB SSD, AMD Radeon graphics, FHD camera w/privacy shutter, Backlit KB (Win 11, MSO 2021, Silver, 1.59 kg), fc0026AU  ",https://amazon.in//HP-15-6-inch-Graphics-Privacy-fc0026AU/dp/B0C3RCR4K7/ref=sr_1_109?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-109,"33,290"
"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1694IN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Nzg1NzYwMzUzMDgzMjY3OjE3MjQ4NTQzOTg6c3BfbXRmOjMwMDI0NjA4OTY2MTAzMjo6MDo6&url=%2FMSI-i7-12650H-Windows-GeForce-B12UCX-1694IN%2Fdp%2FB0CV9S7ZV6%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXKPpn_gB9XH8Cvb5l_DwNNW0T9UM14Io8wsFfsTB8w6Cq-BK4n9kKA5i-J51CjhHynclPdkaozoAbe9oFVW1N4tAaXCNJsSGh_t56EB0eoRyoUwqqnFFYw-2IgVlGr24mEpcG5n8y7Kh6oFp3hq2hz1bePVK0yoX48bt4fhM8PpavGR7h10bJcqXISRvY9ziI.43pBEgrnOmyowPFxNEuqrJErC6EInpcAQ97JJTIqdHA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854398%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"62,989"
"(Refurbished) Dell Latitude 5280 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)  ",https://amazon.in//Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D8C84RSF/ref=sr_1_111?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-111,"17,099"
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray  ",https://amazon.in//MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_112?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-112,"43,990"
"Dell Vostro 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ",https://amazon.in//Dell-Generation-i5-1334U-Processor-39-62cm/dp/B0D46QQHW6/ref=sr_1_113?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-113,"53,700"
"FUTOPIA ULTIMUS PRO [2024] Intel Celeron Dual Core Upto 2.8 Ghz 4GB RAM 128 GB eMMC Expandable Upto 512 GB, 14.1"" HD Display Intel HD Graphics Win 11 Home 1.30 Kg Thin & Light Laptop Space Grey  ",https://amazon.in//FUTOPIA-ULTIMUS-Celeron-Expandable-Graphics/dp/B0CY2PQKSM/ref=sr_1_114?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-114,"12,990"
"(Refurbished) Fujitsu Laptop H770 Intel Core i7-7th Gen Xeon E3-1505M V6 @ 3.0 Ghz Processor4GB Nvidia Quadro M2200 Graphic (8GB RAM/1 TB SSD/15.6"" FHD (1080p)/Win 10/BT/ Numeric Keypad/ Silver)  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDE0ODY5NzAyNzQ2NDcyOjE3MjQ4NTQ0NTI6c3BfYXRmX25leHQ6MzAwMjg2MzcwMTc1OTMyOjowOjo&url=%2FRefurbished-Fujitsu-E3-1505M-Processor4GB-Graphic%2Fdp%2FB0DC471S8M%2Fref%3Dsr_1_113_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.6pG5riuhcZL4o8aUkJ-kPXSEn4wj8UsQ3K7d5urDGIHPYUuQeJgajf9eJ-ELy1PaDlsNK9oJlcxyW01ELQlG10fRuaeYIp_3wtqO4B5Blkfl_vHZn_EspV-Ql1ktGMj6sPXvTkBlv_s7Cqta87oG2TthAhwzWjULk8M0WxwQN5Fpra5luMl_zF7JXgKEExnnPKVHJJcwBQT7yLAFScMLWC27xBJaOxqjzq8OzPdLDYs._9fyDPfwh4aeYrvmCgqiZLM-tUi5cUCxZnkpNfNGdo8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854452%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"31,990"
"(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen, 32 GB Ram & 256 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M2200 (4GB Graphic Card) Laptop  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDE0ODY5NzAyNzQ2NDcyOjE3MjQ4NTQ0NTI6c3BfYXRmX25leHQ6MzAwMTQ4NTM0ODc1ODMyOjowOjo&url=%2FRefurbished-Dell-Precision-7520-Intel%2Fdp%2FB0CXXCWGFQ%2Fref%3Dsr_1_114_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.6pG5riuhcZL4o8aUkJ-kPXSEn4wj8UsQ3K7d5urDGIHPYUuQeJgajf9eJ-ELy1PaDlsNK9oJlcxyW01ELQlG10fRuaeYIp_3wtqO4B5Blkfl_vHZn_EspV-Ql1ktGMj6sPXvTkBlv_s7Cqta87oG2TthAhwzWjULk8M0WxwQN5Fpra5luMl_zF7JXgKEExnnPKVHJJcwBQT7yLAFScMLWC27xBJaOxqjzq8OzPdLDYs._9fyDPfwh4aeYrvmCgqiZLM-tUi5cUCxZnkpNfNGdo8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854452%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"52,690"
