title,link,price,rating,MRP,Reviews_count,delivery_date,image
Natureland Organics Sunflower Oil 1 Ltr - Cold Pressed  ,https://amazon.in//Natureland-Organics-Sunflower-LTR-Pressed/dp/B07B9VMHB8/ref=sr_1_60?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-60,319.0,4.2,350.55,836,Monday 30 September,https://m.media-amazon.com/images/I/61xSGJS2YWL._AC_UL320_.jpg
"Jivo Premium Cold Pressed Kachi Ghani Pure Mustard Oil, 5 Litre | Natural & Pure, Rich in Omega-3 & Antioxidants | Ideal for Cooking, Frying, Pickling & Daily Use |  ",https://amazon.in//JIVO-Kachi-Chemical-Mustard-Cooking/dp/B091XPD9J3/ref=sr_1_61?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-61,799.0,4.2,159.8,1774,Wednesday 2 October,https://m.media-amazon.com/images/I/61VtFODgvEL._AC_UL320_.jpg
"Hathmic Cold Pressed Groundnut Oil, 5L HDPE (Un Refined and Un Filtered Pure Oil)  ",https://amazon.in//Hathmic-Pressed-Groundnut-Refined-Filtered/dp/B07K355QDD/ref=sr_1_62?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-62,1490.0,4.1,298.0,1149,Tuesday 1 October,https://m.media-amazon.com/images/I/51PHKqSs7uL._AC_UL320_.jpg
"Fortune Soyabean Oil Pouch, 1 L  ",https://amazon.in//FORTUNE-Fortune-Soyabean-Oil-Pouch/dp/B00N2WHW90/ref=sr_1_63?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-63,137.0,3.7,137.0,6,Tuesday 8 October,https://m.media-amazon.com/images/I/51cOF9CZnjL._AC_UL320_.jpg
"Dhara Groundnut Oil Tetra Pack, 1L  ",https://amazon.in//Dhara-Groundnut-Oil-Tetra-Pack/dp/B01MUGSME7/ref=sr_1_64?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-64,235.0,4.3,258.24,130,Tuesday 8 October,https://m.media-amazon.com/images/I/71Ku5dAaZSL._AC_UL320_.jpg
Vimal Sunhart Sunflower Oil: Refined for Optimal Nutrition | Healthy Cooking Oil for All Your Culinary Needs | 1L  ,https://amazon.in//Vimal-Sunhart-Refined-Sunflower-Bottle/dp/B0BVZ5BKXD/ref=sr_1_66?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-66,248.0,4.6,248.88,40,Sunday 6 October,https://m.media-amazon.com/images/I/61FQQ8IoyRL._AC_UL320_.jpg
Nature Fresh Soyabean Oil 5 L Jar  ,https://amazon.in//Nature-Fresh-Soyabean-Oil-Jar/dp/B08RK45T3T/ref=sr_1_67?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-67,799.0,4.4,159.8,132,Monday 30 September,https://m.media-amazon.com/images/I/71G2vJGDWRL._AC_UL320_.jpg
Sunpure Physically Refined Sunflower Oil 1L Pouch - Pack of 3 | Rich in Oryzanol | Helps in controlling cholesterol | Chemical Free | Preservatives Free | Cooking Oil | Edible Oil  ,https://amazon.in//Sunpure-Physically-Refined-Sunflower-Pouch/dp/B0CJRQN9S3/ref=sr_1_68?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-68,390.0,4.0,390.0,1,Saturday 5 October,https://m.media-amazon.com/images/I/51QkDygZd6L._AC_UL320_.jpg
Colavita Extra Virgin Olive Oil (1L) | MATURE ITALIAN (less than 12 months old) | Cold Pressed Oil from Italian grown Olives | Timeless Bottle Pack  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9tdGY6MzAwMzI1MDMwNzY5ODMyOjowOjo&url=%2FColavita-CERTIFIED-ITALIAN-Extra-Virgin%2Fdp%2FB07K7BKKJ3%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2995.0,4.4,2995.0,289,Saturday 5 October,https://m.media-amazon.com/images/I/61SBCf15vbS._AC_UL320_.jpg
"Del Monte Pomace Olive Oil, Ideal for Everyday Indian Cooking & Deep Frying, 5L TIN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9tdGY6MjAwNTA4NzY5NjI2MDg6OjA6Og&url=%2FDel-Monte-Olive-Pomace-Oil%2Fdp%2FB00RTBSYX8%2Fref%3Dsr_1_70_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,3657.0,4.3,731.4,3140,Wednesday 2 October,https://m.media-amazon.com/images/I/51bO0LLACEL._AC_UL320_.jpg
